system:index,area,band,class,class_name,.geo
0_0_0,59.89833134773494,classification_2019,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,9.501721143188483,classification_2019,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,0.02558941101074219,classification_2019,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,208.72564111472474,classification_2019,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,9.857709502929758,classification_2019,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,218.96679398100494,classification_2019,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,233.66178648527318,classification_2019,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,4.649703539062473,classification_2019,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,0.005779274536132813,classification_2019,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,0.6725469840698242,classification_2019,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_10,5.705540993896495,classification_2019,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_11,15.161129924926527,classification_2019,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_12,27.143075217101607,classification_2019,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_13,0.13786282360839838,classification_2019,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_14,0.44736718151855426,classification_2019,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_0,61.254562229204936,classification_2020,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_1,10.166062978271485,classification_2020,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_2,0.02558941101074219,classification_2020,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_3,210.30769700577693,classification_2020,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_4,9.971607876220812,classification_2020,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_5,216.13881361247493,classification_2020,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_6,234.58335692814455,classification_2020,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_7,4.554029792663552,classification_2020,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_8,0.005779274536132813,classification_2020,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_9,0.6733722103271483,classification_2020,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_10,5.54705486938478,classification_2020,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_11,15.142296085754195,classification_2020,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_12,25.584479184326092,classification_2020,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_13,0.15190390771484366,classification_2020,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_14,0.45397355877685514,classification_2020,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_0,0.0024763248291015624,classification_2021,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_1,60.21980110243481,classification_2021,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_2,10.181760723510742,classification_2021,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_3,0.02558941101074219,classification_2021,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_4,210.55982366593406,classification_2021,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_5,9.978217971679808,classification_2021,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_6,216.27641291532643,classification_2021,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_7,234.63370405991944,classification_2021,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_8,4.362685083374002,classification_2021,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_9,0.005779274536132813,classification_2021,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_10,0.6733722103271483,classification_2021,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_11,5.369537805053724,classification_2021,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_12,15.629883864013486,classification_2021,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_13,26.029058178039325,classification_2021,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_14,0.15685362854003895,classification_2021,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_15,0.45562270605468713,classification_2021,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_0,62.328211818072,classification_2022,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_1,10.21477265557861,classification_2022,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_2,0.07094840374755856,classification_2022,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_3,214.38218960665296,classification_2022,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_4,11.265204850524784,classification_2022,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_5,209.22334123657154,classification_2022,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_6,236.32936179155354,classification_2022,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_7,4.9177834105224445,classification_2022,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_8,0.005779274536132813,classification_2022,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_9,0.6733722103271483,classification_2022,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_10,5.737570231994642,classification_2022,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_11,15.830578455749336,classification_2022,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_12,22.96816277063002,classification_2022,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_13,0.15685362854003895,classification_2022,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_14,0.4564485795898434,classification_2022,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
